temperature,wind_speed,mean_sea_level_pressure,surface_solar_radiation,surface_thermal_radiation,total_cloud_cover,relative_humidity
12.59,2.55,102243.72,692.32,310.56,1,0.67
12.89,2.85,102153.3,659,308.79,1,0.66
14.53,2.92,101982.58,614.16,311.31,1,0.63
14.96,2.63,101918.06,504.6,311.93,1,0.62
15.27,2.46,101836.07,369.98,314.73,1,0.62
14.03,1.99,101806.22,186.39,314.94,1,0.69
13.64,2.25,101812.41,68.34,309.15,1,0.69
13.35,2.68,101842.42,1.56,311.09,1,0.7
11.6,2.61,101822.99,0,305.4,1,0.77
11.59,4.06,101788.59,0,306.37,1,0.76
11.61,4.75,101754.3,0,311.1,1,0.75
10.76,5.01,101703.19,0,302.88,1,0.77
10.71,4.53,101685.95,0,306.07,1,0.77
10.54,4.22,101660.88,0,296.9,1,0.78
10.12,4.38,101619.06,0,302.17,1,0.8
10.06,4.48,101564.45,0,295.23,1,0.8
10.01,4.59,101524.88,0,298.72,1,0.8
9.7,4.65,101502.72,0,300.59,1,0.81
9.66,4.88,101489.32,0,302.61,0.99,0.81
9.6,5.37,101480.05,27.21,310.11,0.83,0.82
12.92,5.15,101537.58,168.65,310.03,0.72,0.72
13.02,5.61,101505.32,371.39,302.14,0.48,0.72
13.28,5.84,101458.39,518.3,298.84,0.82,0.72
15.54,5.64,101455.31,535.41,313.77,0.87,0.61
15.97,5.09,101415.28,410.78,358.01,0.8,0.58
16.15,4.87,101390.68,475.01,355.98,0.69,0.56
17.04,4.49,101423.58,532.41,329.67,0.87,0.54
16.83,3.5,101403.3,355.9,343.01,0.82,0.55
16.34,3.37,101436.6,241.97,345.03,0.52,0.6
13.8,2.12,101477.24,253.55,306.81,0.31,0.76
13.88,2.01,101535.22,67.85,315.48,0.29,0.75
13.49,2.05,101621.93,2.14,310.91,0.49,0.77
11.52,2.07,101717.27,0,311.16,0.5,0.86
11.49,2.13,101797.46,0,314.18,0.3,0.86
11.42,1.89,101813.29,0,305.3,0.18,0.86
10.14,2.05,101811.34,0,316.56,0.06,0.91
9.51,1.97,101824.48,0,291.6,0.05,0.92
9.55,1.95,101822.08,0,294.28,0.18,0.92
8.96,2.06,101820.11,0,304.66,0.39,0.93
8.83,2.16,101817.68,0,309.75,0.57,0.93
9.17,2.18,101841.5,0,332.01,0.78,0.93
8.96,2.21,101912.48,0,314.13,0.83,0.92
8.92,2.13,101946.23,0,319.68,0.88,0.92
9.15,2.24,102004.92,37.77,317.82,0.87,0.91
11.97,2.21,102044.08,151.22,319.48,0.97,0.81
11.86,2.04,102078.25,345.13,315.57,0.96,0.81
12.23,1.87,102043.54,543.74,315.82,0.88,0.79
14.96,2.16,101971.67,697.08,312.54,0.36,0.7
16.33,1.93,101886.23,809.96,290.4,0.08,0.65
16.76,1.96,101742.56,844.18,289.1,0.06,0.64
18.34,2.13,101638.05,785.84,297.15,0.4,0.58
18.48,2.57,101514.36,673.13,295.52,0.26,0.57
18.61,2.99,101430.63,510.52,297.54,0.23,0.56
16.48,2.7,101446.86,312.95,300.32,0.67,0.63
16.82,3.22,101450.61,108.81,299.19,0.99,0.57
16.71,4.19,101463.3,2.72,297.26,1,0.59
14.08,5.32,101531.69,0,297.78,0.99,0.68
13.88,5.11,101499.36,0,297.32,1,0.69
13.46,4.73,101444.76,0,296.71,0.99,0.7
12.46,4.59,101421.14,0,301.26,1,0.73
12.28,4.71,101353.03,0,296.75,1,0.74
12.39,5.09,101254.03,0,299.12,1,0.73
12.31,5.58,101145.19,0,299.4,1,0.71
12.35,5.8,101084.63,0,296.94,0.96,0.7
12.29,5.7,101041.02,0,299.7,0.98,0.7
12.34,5.56,101035.9,0,308.81,1,0.69
12.26,5.51,101048.63,0,314.15,0.99,0.7
12.01,5.29,101081.75,26.41,315.09,0.98,0.72
13.95,4.78,101176.96,104.85,315.48,1,0.68
13.75,5.39,101099.67,186.34,324.45,0.92,0.69
13.98,5.7,101055.2,365.38,314.6,0.78,0.68
14.75,5.39,101021.49,517.39,326.39,0.93,0.67
14.18,5.56,101021.28,389.56,348.77,0.88,0.74
12.4,5.88,101102.78,153.66,353.29,0.92,0.83
11.8,5.35,101105.25,397.07,337.7,0.78,0.76
11.94,4.4,101128.44,194.75,346.94,0.88,0.74
12.75,3.75,101109.49,312.24,330.11,0.96,0.68
11.93,2.68,101138.11,92.02,342.94,0.61,0.67
11.54,2.11,101144.57,58.39,323.06,0.41,0.69
11.19,2.47,101196.22,1.95,304.64,0.53,0.72
9.79,3.02,101273.35,0,317.7,0.41,0.75
9.77,3.78,101298.46,0,310.47,0.46,0.75
9.75,4.6,101303.16,0,313.45,0.22,0.74
9,5.35,101322.25,0,294.1,0.2,0.71
8.84,5.51,101314.1,0,276.52,0.4,0.7
8.88,5.5,101276,0,290.12,0.08,0.7
7.93,5.34,101276.02,0,294.8,0.1,0.73
7.7,5.09,101254.96,0,269.86,0.05,0.75
7.73,5.09,101257.66,0,275.97,0.04,0.75
7.05,5.19,101309.29,0,258.88,0.06,0.75
6.87,5.19,101362.12,0,264.94,0.22,0.77
6.87,5.17,101420.06,52.35,268.59,0.24,0.78
10.46,5.16,101473.4,217.08,272.2,0.39,0.66
10.45,6.16,101497.83,399.96,281.85,0.44,0.66
10.22,5.93,101519.47,465.89,296.59,0.54,0.68
10.99,5.84,101503.02,525.54,296.4,0.41,0.63
11.38,6.43,101479.53,682.87,273.43,0.48,0.6
11.59,6.91,101463.52,690.92,287.73,0.55,0.58
11.78,7.01,101443.04,598.5,293.16,0.56,0.55
12.03,6.64,101444.35,464.26,301.89,0.52,0.54
11.91,6.83,101455.05,425.96,284.92,0.52,0.54
9.71,6.69,101516.44,221.15,286.25,0.62,0.68
9.79,5.62,101600.1,78.49,304.99,0.26,0.66
9.65,5.7,101661.84,2.77,287.69,0.19,0.66
7.81,5.87,101760.13,0,274.9,0.31,0.74
7.88,5.44,101834.42,0,284.5,0.34,0.75
7.61,5.1,101868.07,0,280.87,0.39,0.77
6.61,4.93,101927.66,0,267.06,0.36,0.83
6.55,4.67,101911.25,0,267.73,0.41,0.84
6.57,4.51,101915.67,0,271.27,0.43,0.84
5.99,4.57,101933.83,0,263.11,0.42,0.84
6.15,4.83,101944.49,0,270.24,0.5,0.83
6.19,4.72,101972.52,0,271.98,0.4,0.82
5.85,4.35,102028.84,0,269.48,0.38,0.83
5.85,4.22,102137.81,0,288.21,0.51,0.84
5.88,4.18,102212.23,53.81,276.4,0.71,0.84
8.96,4.49,102289.12,196.57,280.35,0.54,0.74
8.89,4.96,102371.67,382.42,273.58,0.39,0.76
8.82,4.97,102401.23,499.2,279.03,0.39,0.78
10.55,5.23,102410.75,618.49,290.89,0.37,0.7
11.01,5.37,102408.47,624.79,296.31,0.29,0.65
11.23,5.44,102378.85,665.39,287.54,0.37,0.64
11.52,5.53,102378.45,675.93,292.69,0.26,0.63
11.36,5.51,102350.86,480.89,300.42,0.33,0.62
11.56,5.41,102363.82,470.29,288.48,0.3,0.6
10.2,5.29,102376.14,271.28,291.3,0.44,0.64
10.01,4.2,102425.97,89.23,314.93,0.39,0.65
10.21,3.54,102437.36,3.32,298.99,0.52,0.65
8.15,3.03,102476.03,0,282.47,0.44,0.77
8.41,3.16,102489.88,0,295.94,0.34,0.75
8.01,3.4,102493.62,0,267.71,0.28,0.77
7.57,3.3,102484.83,0,299.77,0.27,0.81
7.38,3.24,102498.44,0,282.54,0.29,0.83
7.04,3.09,102473.63,0,276.28,0.36,0.86
6.1,2.88,102478.13,0,285.42,0.45,0.9
5.99,2.72,102451.71,0,281.62,0.87,0.9
6.02,2.59,102505.26,0,286.38,0.98,0.9
5.37,2.27,102497.06,0,290.88,0.99,0.91
5.19,2.23,102534.69,0,285.39,0.99,0.92
5.25,2.64,102575.57,42.97,296.3,0.99,0.9
9.52,2.75,102665.33,173.98,292.74,0.99,0.76
9.61,3.16,102670.82,301.23,308.16,0.98,0.76
9.91,3.37,102642.22,485.88,301.49,0.97,0.75
11.63,3.39,102594.55,550.48,308.08,0.83,0.61
12.52,3.26,102575.42,585.24,316.38,0.7,0.56
12.64,2.97,102539.88,555.95,311.17,0.97,0.55
13.31,2.45,102471.66,519.28,320.92,1,0.52
13.25,2.01,102461.06,287.31,334.74,1,0.52
13.31,1.75,102449.08,240.01,330.74,0.98,0.52
11.92,1.96,102462.7,174.91,327.56,1,0.6
11.61,2.01,102508.33,68.89,315.31,1,0.63
11.3,2.01,102549.8,3.24,320.08,0.98,0.66
9.54,1.52,102602.38,0,310.21,0.98,0.8
9.3,1.33,102645.28,0,307.56,0.81,0.83
9.72,1.23,102651.82,0,293.31,0.82,0.79
8.61,1.12,102617.29,0,312.54,0.79,0.85
8.75,0.95,102642.11,0,289.49,0.83,0.84
8.44,0.81,102652.02,0,289.57,0.85,0.84
7.86,0.94,102639.35,0,301.56,0.95,0.87
7.5,1.07,102618.57,0,303.26,0.6,0.89
7.09,1.21,102614.35,0,291.51,0.5,0.91
5.69,1.4,102617.47,0,279.37,0.37,0.93
5.41,1.33,102665.34,0,267.6,0.19,0.95
5.89,1.49,102714.86,67.62,267.53,0.12,0.95
11.42,1,102800.87,253.73,264.52,0.34,0.72
11.59,0.26,102805.46,454.12,270.79,0.26,0.68
11.75,0.75,102780.86,597.36,278.69,0.45,0.66
13.38,1.2,102775.48,684.34,289.27,0.76,0.55
14.05,1.35,102746.37,577.83,321.66,0.73,0.52
14.24,1.46,102670.73,584.52,323.67,0.7,0.51
14.71,1.6,102649.52,521.63,322.21,0.42,0.49
15.02,1.66,102634.13,545.66,315.89,0.45,0.48
15.18,1.99,102609.62,438.65,313.89,0.16,0.47
13.5,2.57,102638.41,315.63,280.29,0.04,0.55
13.01,3.15,102677.33,128.92,274.6,0.03,0.57
12.61,3.73,102769.28,5.31,268.84,0.03,0.61
9.58,3.84,102828.27,0,268.73,0.01,0.77
9.57,3.54,102895.88,0,274.63,0.04,0.8
9.25,3.28,102897.52,0,273.41,0.01,0.82
6.63,2.88,102877.28,0,270.26,0,0.9
7.38,2.74,102886.11,0,265.53,0,0.88
7.11,2.43,102844.18,0,264.62,0,0.88
5.87,1.85,102811.51,0,262.09,0,0.93
5.55,1.63,102775.77,0,260.43,0,0.94
5.38,1.46,102786.12,0,259.26,0,0.95
4.81,1.33,102756.12,0,256.68,0.36,0.95
4.63,1.1,102837.42,0.04,255.77,0.36,0.96
4.55,1.06,102868.37,76.89,255.76,0.36,0.96
10.84,0.32,102913.6,277.88,260.94,0.06,0.79
11.12,0.43,102918.03,487.56,264.35,0,0.78
12.05,0.7,102874.28,668.43,271.48,0,0.76
15.59,0.83,102824.36,797.82,279.3,0,0.64
16.92,0.79,102743.45,870.09,286.61,0,0.59
17.51,0.7,102654.28,870.11,294.73,0,0.58
18.57,0.74,102584.26,718.23,315.28,0.06,0.56
18.71,1.42,102508.73,592.06,328.71,0.16,0.56
18.85,2.81,102467.93,488.48,328.03,0.02,0.56
17.17,3.21,102495.62,310.33,310.04,0.04,0.65
16.86,2.94,102524.53,125.9,310.58,0.02,0.66
16.84,3.09,102591.37,5.69,302.83,0.01,0.66
13.26,2.87,102579.55,0,297.65,0.01,0.81
12.63,3.01,102652.21,0,297.3,0.01,0.83
11.97,2.53,102655.77,0,293.77,0.08,0.85
10.59,2.11,102668.48,0,295.87,0.1,0.9
10.6,2.1,102669.88,0,307.2,0.09,0.9
9.68,2.13,102638.84,0,298.76,0.02,0.92
9.26,2.08,102624.02,0,295.4,0.01,0.93
9.12,1.86,102618.24,0,292.91,0,0.93
8.67,1.67,102651.95,0,291.17,0,0.93
8.81,1.54,102684.96,0,290.79,0,0.93
8.79,1.75,102760.34,0.11,289.46,0,0.93
8.86,2.23,102775.09,76.71,288.83,0,0.93
13.33,1.64,102805.65,270.22,291.71,0,0.8
14.71,1.46,102787.58,474.11,297.51,0,0.78
18.83,1.56,102732.37,650.03,304.15,0,0.61
20.32,2.15,102670.34,780.42,309.59,0.02,0.55
20.84,2.55,102566.17,782.99,322.65,0.16,0.52
22.17,2.62,102485.52,747.48,346.75,0.34,0.47
22.35,2.51,102404.92,581.24,349.79,0.49,0.47
22.49,2.39,102349.77,633.94,334.08,0.52,0.46
21.77,2.39,102295.89,415.83,345.93,0.13,0.49
21.25,2.05,102286.25,321.17,325.62,0.12,0.51
20.46,1.69,102311.97,115.44,328.38,0.16,0.57
19.97,2.08,102356.65,6.11,320.49,0.13,0.58
16.57,1.64,102362.77,0,318.22,0.08,0.7
15.93,2.37,102364.18,0,317.87,0.03,0.73
14.18,2.69,102333.64,0,312.76,0,0.81
13.66,3.07,102311.49,0,306.74,0.01,0.81
13.94,3.63,102296.72,0,305.56,0,0.79
14.35,4.15,102207.6,0,304.2,0,0.77
14.51,4.18,102187.57,0,302.94,0,0.75
14.53,4.18,102177.45,0,301.49,0,0.74
13.95,4.54,102154.76,0,299.72,0,0.74
13.89,4.93,102172.29,0,299.08,0,0.74
13.98,5.34,102183.6,0.21,297.77,0,0.73
13.82,5.64,102222.11,81.23,296.87,0.01,0.75
16.74,4.6,102211.71,277.32,300.21,0.05,0.68
17.21,5.57,102261.32,475.3,304.55,0.31,0.67
18.99,6.69,102176.9,583.53,318.92,0.82,0.61
19.71,7.23,102113.89,654.18,336.32,0.96,0.58
19.28,6.6,102003.85,365.73,361.69,0.83,0.6
19.95,6.96,101917.81,534.99,354.29,0.78,0.63
20.48,7.28,101821.59,582.75,337.53,0.37,0.61
20.91,7.2,101752.09,439,349.07,0.43,0.56
20.69,6.27,101696.45,412.02,353.9,0.27,0.56
20.76,6.2,101687.7,297.27,336.32,0.17,0.55
20.7,5.9,101716.22,108.97,342.08,0.23,0.55
20.8,5.65,101757.09,5.08,350.1,0.3,0.54
17.76,4.91,101805.24,0,352.18,0.41,0.66
17.69,2.75,101879.44,0,353.83,0.72,0.68
15.55,2.99,101937.04,0,352.19,0.91,0.8
14.85,3.36,102032.87,0,351.04,1,0.86
14.45,3.33,102088.8,0,356.04,1,0.89
13.27,2.85,102112.67,0,368.63,1,0.92
13.1,2.09,102120.38,0,369.17,1,0.92
13.01,2.18,102127.34,0,367.87,1,0.91
12.02,2.46,102177.26,0,367.49,0.99,0.91
12.01,2.22,102214.87,0,365.2,0.95,0.89
12.02,1.78,102307.39,0.14,360.18,0.93,0.89
11.77,1.48,102350.61,33.91,347.64,0.83,0.89
13.03,1.17,102356.11,113.34,353.28,0.85,0.83
13.08,1.45,102388.14,288.47,342.16,0.63,0.81
14.47,1.45,102354.85,351.22,340.08,0.61,0.76
15.43,1.35,102320.97,542.78,336.93,0.64,0.73
15.7,1.1,102228.61,707.63,328.79,0.8,0.72
17.35,1.12,102153.36,750.37,329.29,0.84,0.67
17.35,1.41,102099.41,620.54,340.47,0.82,0.68
17.13,2.11,102043.95,421.15,354.61,0.72,0.68
16.57,3.33,102003.13,372.75,349.31,0.26,0.7
16.44,4.29,102028.4,321.55,320.76,0.12,0.7
16.37,4.17,102047.05,136.02,308.95,0.06,0.72
16.59,3.88,102103.01,7.43,302.57,0.05,0.72
13.61,3.26,102150.33,0,306.78,0.14,0.85
13.51,2.84,102144.61,0,313.39,0.16,0.86
12.14,2.29,102095.72,0,310.17,0.11,0.9
12.33,1.28,102045.34,0,308.15,0.09,0.9
11.89,0.48,102004.8,0,315.52,0.05,0.91
10.6,0.73,101931.79,0,303.57,0.03,0.94
10.54,0.98,101839.57,0,304.16,0.02,0.94
10.46,1.01,101755.02,0,302.25,0.38,0.95
10.23,1.08,101723.43,0,306.33,0.02,0.96
10.23,1.53,101707.65,0,301.01,0.06,0.96
10.28,2.16,101680.39,0.62,303.65,0.08,0.96
11.04,2.86,101682.57,78.63,318.26,0.14,0.93
15.69,3.5,101652.46,261.55,319.02,0.23,0.84
17.26,4.93,101621.55,465.48,335.46,0.27,0.8
21,6.64,101514.87,615.52,340.96,0.49,0.67
21.18,7.09,101490.46,650.17,353.51,0.9,0.66
20.67,6.68,101403.98,579.15,362.22,1,0.67
20.04,6.5,101338.62,595.34,364.54,0.97,0.71
20.99,6.77,101192.85,691.84,356.47,0.41,0.66
21.09,7.78,101052.72,559.34,368.82,0.52,0.66
19.07,7.54,100964.49,353.72,358.35,0.96,0.72
18.61,7.74,101019.84,123.39,366.04,0.98,0.74
17.81,6.92,101080.76,49.91,356.69,0.71,0.82
17.24,7.05,101238.69,4.84,359.1,0.91,0.85
12.41,10.64,101560.97,0,364.9,0.95,0.87
11.79,8.61,101719.56,0,340.72,0.67,0.85
9.79,7.52,101799.15,0,331.4,0.32,0.8
9.65,6.45,101869.65,0,290.63,0.18,0.8
9.53,6.23,101931.02,0,274.18,0.2,0.81
8.22,5.89,101940.02,0,271.03,0.13,0.82
8.31,5.59,101926.94,0,279.99,0.17,0.82
8.25,5.3,101928.43,0,276.44,0.25,0.83
7.36,5.23,101986.27,0,280.45,0.34,0.83
7.23,5.22,102052.72,0,266.32,0.36,0.83
7.28,5.03,102165.59,0.68,277.75,0.45,0.83
7.21,5.15,102249.56,76.12,291.69,0.45,0.84
9.47,5.34,102290.28,236.5,272.6,0.38,0.73
9.76,5.66,102375.9,419.1,280.72,0.45,0.7
11.28,5.68,102350.9,499.05,293.25,0.66,0.6
12.01,5.58,102385.6,543.64,325.09,0.84,0.55
11.9,5.26,102336.75,528.69,324.55,0.96,0.55
12.98,5.37,102362.82,582.52,327.55,0.94,0.51
12.95,5.51,102346.13,438.07,328,0.85,0.5
13.17,5.5,102293.11,466.86,328.01,0.93,0.49
13.19,5.91,102259.58,445.58,312.89,0.96,0.51
13.15,6.28,102299.15,186.34,332.16,0.93,0.51
13.03,5.9,102303.17,93.74,319.94,0.81,0.53
13.26,5.45,102359.67,6.08,322.22,0.92,0.53
11.18,5.38,102424.8,0,321.54,0.92,0.64
11.13,5.1,102455.53,0,323.56,0.82,0.64
10.69,5.24,102437.85,0,333.14,0.76,0.69
10.65,5.25,102453.55,0,337.64,0.6,0.7
10.56,5.36,102420.08,0,314.02,0.82,0.72
10.37,5.43,102374.93,0,345.31,0.88,0.78
10.43,5.35,102393.85,0,346.12,0.95,0.8
10.44,5.19,102347.22,0,354.92,0.92,0.81
10.27,5.12,102413.15,0,347.3,0.93,0.85
10.29,4.89,102415.71,0,354.62,0.87,0.86
10.22,4.76,102477.28,0.6,336.96,0.8,0.87
9.93,4.75,102539.78,56.16,337.73,0.65,0.89
11.51,5.09,102618.5,153.34,326.11,0.71,0.86
11.61,4.57,102710.85,313.86,335.72,0.58,0.85
13.02,4.1,102662.42,482.3,317.68,0.54,0.77
13.84,4.08,102695.26,581.11,323.04,0.67,0.73
13.82,4.31,102676.98,544.85,334.01,0.47,0.73
14.7,4.42,102640.23,574.53,339.11,0.72,0.68
14.43,4.19,102605.16,457.52,349.94,0.76,0.69
14.36,3.5,102556.82,446.93,332.94,0.73,0.68
13.67,2.98,102551.6,302.1,327.86,0.72,0.69
13.63,2.62,102546.99,300.2,298.99,0.66,0.67
13.42,2.2,102606.1,91.15,324.62,0.62,0.68
13.23,1.78,102655.6,7.86,311.61,0.53,0.7
10.69,1.85,102725.04,0,299.85,0.44,0.81
10.43,1.57,102743.71,0,294.66,0.35,0.83
9.03,1.6,102730.56,0,299.92,0.32,0.88
9.37,1.6,102728.73,0,307.85,0.27,0.87
9.49,1.53,102749.19,0,297.7,0.43,0.86
8.79,1.44,102668.91,0,295.43,0.52,0.9
8.18,1.27,102645.5,0,297.46,0.44,0.92
8.11,0.97,102591.73,0,295.8,0.33,0.93
7.2,1.01,102588.44,0,299.07,0.26,0.93
7.14,1.24,102576.64,0,279.76,0.1,0.92
7.44,1.48,102611.79,1.73,294.09,0.09,0.91
7.9,1.43,102697.04,98.66,290.76,0.15,0.92
11.36,1.16,102727.87,291.95,286.32,0.2,0.84
11.46,1.84,102787,490.05,293.09,0.24,0.82
13.78,2.17,102746.34,604.99,312.2,0.37,0.71
14.74,2.26,102735.29,661.15,315.8,0.49,0.66
14.81,2.29,102703.25,682.86,316.41,0.59,0.66
15.64,2.58,102660.83,711.63,321.95,0.59,0.63
15.59,2.86,102639.61,636.74,314.25,0.33,0.62
15.81,3.05,102618.85,630.22,327.09,0.44,0.6
15.03,3.04,102627.78,511.78,310.89,0.23,0.62
14.74,3.18,102678.39,354.72,307.99,0.18,0.62
14.48,3.13,102700.41,133.68,300.81,0.21,0.66
14.32,3.22,102757.51,9.16,308.7,0.18,0.69
11.89,3.03,102822.67,0,306.68,0.14,0.86
11.74,2.63,102847,0,308.07,0.08,0.88
10.87,2.52,102876.33,0,305.83,0.04,0.92
10.64,2.38,102879.1,0,298.02,0.04,0.92
10.24,2.32,102900.42,0,283.59,0.03,0.92
9.33,2.27,102854.41,0,276.45,0.06,0.94
9.15,2.41,102831.49,0,275.36,0.1,0.94
8.98,2.62,102798.4,0,278.54,0.2,0.95
8.52,2.68,102830.25,0,289.91,0.24,0.96
8.32,2.35,102833.12,0,308.92,0.24,0.96
8.56,1.97,102873.58,1.85,303.85,0.24,0.95
8.49,1.53,102923.15,84.63,300.51,0.29,0.95
11.16,1.13,102997.3,244.56,309.7,0.41,0.88
11.39,1.13,103031.6,443.75,308.8,0.38,0.87
15.11,1.15,103014.39,663.75,302.9,0.15,0.75
17.05,1.13,102947.67,824.46,297.91,0,0.68
18.15,1.55,102888.62,897.52,304.5,0.02,0.65
21.01,1.85,102767.43,876.12,317.98,0.16,0.55
21.52,2.24,102721.4,778.94,336.45,0.3,0.53
22.15,2.51,102649.71,622.68,345.22,0.32,0.48
21.88,2.54,102623.39,409.57,353.93,0.42,0.49
21.64,1.83,102658.13,264.09,342.24,0.28,0.51
21.04,2,102675.51,129.33,345.16,0.11,0.52
19.82,2.67,102725.66,10.97,317.08,0.02,0.59
15.69,3.1,102782.38,0,310.34,0.01,0.76
15.09,2.8,102802.17,0,304.06,0,0.79
13.78,2.93,102821.76,0,301.56,0,0.83
13.76,3.17,102820.78,0,301.82,0.01,0.83
14.1,3.84,102834.95,0,302.34,0,0.79
14.37,4.92,102810.26,0,298.9,0,0.69
14.33,5.62,102792.71,0,294.77,0,0.67
14.26,5.73,102766.56,0,290.83,0,0.65
13.5,5.61,102803.17,0,286.7,0,0.63
13.48,5.31,102815.02,0,280.28,0,0.62
13.45,4.9,102892.06,3.08,277.8,0,0.62
13.25,4.81,102952.42,116.14,278.54,0,0.63
15.92,3.74,102939.14,324.47,283.59,0,0.6
16.29,4.48,102982.46,538.26,288.73,0,0.58
19.52,5.15,102923.43,710.6,296.37,0.01,0.5
20.67,5.69,102835.4,837.26,304.17,0.02,0.48
20.94,6.07,102735.98,899.27,310.58,0.02,0.48
22.05,6.46,102638.79,884.45,319.71,0.14,0.47
22.21,6.54,102542.05,825.69,320.76,0.33,0.46
22.13,6.66,102452.35,553.44,357.55,0.73,0.47
21.41,5.13,102445.12,296.36,368.47,0.87,0.51
21.48,4.25,102452.67,156.59,379.11,0.67,0.51
21.06,3.59,102447.82,97.67,361.13,0.49,0.52
20.95,3.4,102435.06,8.07,364.98,0.48,0.53
18.03,3.16,102434.41,0,365.06,0.51,0.66
17.84,3.31,102452.81,0,369.01,0.5,0.66
17.35,3.66,102423.24,0,364.75,0.39,0.68
17.64,4.47,102416.94,0,372.24,0.34,0.67
17.95,5.69,102418.03,0,377.99,0.27,0.66
18.04,6.75,102310.49,0,370.08,0.21,0.67
18.09,7.14,102231.62,0,355.91,0.11,0.67
17.92,7.24,102240.67,0,350.25,0.12,0.67
17.69,7.29,102240.47,0,342.57,0.12,0.71
17.63,7.14,102246.92,0,319.49,0.47,0.71
17.61,7.16,102291.5,3.16,326.88,0.77,0.71
17.3,7.4,102338.32,94.86,335.47,0.98,0.72
18.53,7.3,102318.6,222.03,349.75,1,0.69
18.55,8.33,102325.21,393.51,346.95,0.98,0.68
19.93,8.48,102231.69,460.63,351.99,0.58,0.65
20.81,8.68,102225.91,671.07,345.07,0.91,0.62
20.9,8.29,102139.1,721.64,353.76,1,0.62
20.94,7.59,102053.3,602.41,360.19,0.69,0.64
21.25,6.48,101994.68,634.79,364.3,0.65,0.63
21.56,4.63,101914.49,636.21,359.13,0.91,0.61
19.75,2.82,101944.09,372.71,374.16,1,0.67
18.94,2.38,101993.06,113.5,372.61,1,0.71
18.37,1.54,102051.54,37.33,377.21,1,0.74
18.51,1.17,102084.08,2.18,377.69,1,0.75
16.2,1.67,102075.85,0,379.73,1,0.94
16.36,2.4,102023.18,0,380.84,1,0.93
15.95,1.92,101982.65,0,382.9,1,0.93
16,2.15,101933.55,0,377.03,1,0.92
16.06,1.62,101898.58,0,383.89,1,0.92
15.58,1.57,101888.01,0,385.58,1,0.94
15.22,2.02,101826.13,0,384.71,1,0.96
14.74,1.91,101819.46,0,383.55,1,0.97
13.92,1.94,101783.14,0,382.61,1,0.98
13.61,2.38,101764.59,0,381.77,1,0.98
13.37,2.87,101806.12,0.57,378.9,1,0.98
13.26,3.09,101814.79,12.59,379.03,1,0.98
13.7,2.53,101786.5,35.83,376.5,1,0.97
13.55,2.98,101806.29,80.86,375.55,1,0.96
13.66,2.98,101762.99,144.85,375.22,1,0.94
13.55,2.91,101718.4,105.23,374.4,1,0.93
13.35,3.02,101661.03,103.23,373.68,1,0.93
13.22,3.39,101578.19,114.14,370.59,1,0.92
13.15,3.53,101520.85,114.72,372.02,1,0.92
13.1,3.32,101483.07,106.1,370.96,1,0.92
12.39,3.05,101452.44,76.7,369.1,1,0.91
12.23,2.84,101438.85,46.8,365.68,1,0.92
12.33,3.13,101468.12,21.85,365.2,1,0.9
12.45,3.63,101481.7,2.28,363.75,1,0.9
11.66,3.43,101531.94,0,363.39,1,0.89
11.61,3.28,101493.46,0,362.07,1,0.87
11.12,2.89,101510.58,0,360.75,1,0.88
11.16,2.3,101469.62,0,359.2,0.99,0.87
11.18,1.93,101425.81,0,356.7,1,0.87
10.83,1.56,101344.77,0,359.45,1,0.87
10.87,1.2,101277.09,0,353.75,1,0.87
10.82,0.95,101246.07,0,356.96,1,0.88
10.66,0.73,101232.56,0,358.68,1,0.88
10.57,0.2,101235.85,0,347.92,1,0.89
10.82,0.52,101227.65,2.21,348.09,0.98,0.88
10.77,1.16,101248.12,45.82,351.51,0.93,0.89
11.95,1.69,101269.28,126.19,352.78,0.92,0.86
12.39,2.2,101210.29,249.87,351.07,0.89,0.87
15.04,3.35,101113.37,431.31,342.36,0.99,0.73
16.5,4.55,101037.6,402.63,348.44,1,0.66
16.83,5.35,100965.66,361.16,367.45,1,0.65
18.82,6.22,100768.73,562.27,354.65,1,0.57
18.74,7.09,100706.43,531.64,364.34,0.97,0.57
18.52,7.42,100640.16,437.09,358.18,0.99,0.58
18.22,6.37,100605.35,445.91,331.18,0.98,0.6
18.1,5.69,100568.74,206.98,359.91,1,0.61
18.02,5.55,100544,88.78,343.76,0.95,0.62
18.14,5.65,100531.54,10.45,328,0.98,0.62
16,5.63,100484.39,0,336.17,1,0.75
16.04,5.3,100438.86,0,331.9,1,0.74
15.88,5.62,100253.51,0,335.21,1,0.77
15.86,6,100153.77,0,330.5,1,0.76
15.95,5.81,99978.29,0,340.37,1,0.75
16.15,6.01,99811.57,0,346.29,1,0.75
15.88,6.2,99738.07,0,355.21,1,0.78
15.57,5.35,99604.52,0,358.69,1,0.82
14.66,4.14,99490.26,0,363.37,1,0.88
14.6,2.67,99375.34,0,365.23,1,0.89
14.21,1.45,99306.06,0.6,363.56,1,0.91
14.14,3.26,99275.21,15.87,363.15,1,0.92
13,6.17,99343.9,37.19,370.36,1,0.96
12.27,6.51,99334.94,47.49,368.61,1,0.94
11.49,5.91,99361.82,55.11,361.4,1,0.93
11.21,7.49,99295.87,127.14,356.99,1,0.9
10.84,7.84,99251.33,46.5,355.26,1,0.9
9.99,7.81,99211.47,54.24,349.69,1,0.87
